epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2903.74,1.01597,0.80359,1.13097,0.85517,0.81431,0.85377,0.58105,1.14935,1.05603,1.20552,0.0004852,0.0004852,0.0004852
80,2939.74,1.02892,0.84737,1.15009,0.88888,0.81215,0.86939,0.62081,1.07173,0.95545,1.14312,0.0004786,0.0004786,0.0004786
81,2974.54,0.99058,0.78018,1.11925,0.90968,0.80755,0.87728,0.62108,1.08694,0.93571,1.14705,0.000472,0.000472,0.000472
82,3010.53,1.00314,0.79783,1.11909,0.89473,0.83562,0.88097,0.62468,1.0964,0.95592,1.16477,0.0004654,0.0004654,0.0004654
83,3047.34,0.98577,0.78032,1.12031,0.89232,0.81411,0.871,0.61538,1.10982,0.94672,1.17264,0.0004588,0.0004588,0.0004588
84,3083.48,0.97645,0.77203,1.10759,0.91367,0.80832,0.88231,0.62996,1.10653,0.91116,1.15987,0.0004522,0.0004522,0.0004522
85,3120.12,0.97733,0.77317,1.10706,0.92685,0.80474,0.88303,0.63208,1.1013,0.91308,1.17878,0.0004456,0.0004456,0.0004456
86,3156.75,0.96626,0.76237,1.10547,0.92129,0.81368,0.88203,0.63162,1.07585,0.89904,1.15193,0.000439,0.000439,0.000439
87,3192.25,0.98316,0.76576,1.11664,0.91803,0.84204,0.8876,0.63233,1.08598,0.89744,1.15257,0.0004324,0.0004324,0.0004324
88,3227.8,0.96864,0.75459,1.1081,0.92916,0.82313,0.88471,0.63319,1.07796,0.8795,1.13529,0.0004258,0.0004258,0.0004258
89,3264.73,0.97256,0.74613,1.10361,0.86938,0.84229,0.87867,0.62723,1.0933,0.95606,1.15125,0.0004192,0.0004192,0.0004192
90,3301.01,0.9432,0.73869,1.09324,0.88665,0.79739,0.86797,0.61549,1.08943,1.00047,1.14933,0.0004126,0.0004126,0.0004126
91,3335.75,0.95191,0.74364,1.10121,0.90439,0.80396,0.8649,0.61946,1.09142,0.93467,1.14865,0.000406,0.000406,0.000406
92,3372.08,0.9625,0.7433,1.10444,0.90339,0.82356,0.87058,0.62125,1.07565,0.9005,1.15249,0.0003994,0.0003994,0.0003994
93,3408.08,0.96229,0.72851,1.10189,0.9012,0.82786,0.87084,0.61789,1.08362,0.94504,1.14612,0.0003928,0.0003928,0.0003928
94,3443.77,0.95226,0.71992,1.09449,0.93858,0.82167,0.87815,0.63402,1.07987,0.90183,1.15655,0.0003862,0.0003862,0.0003862
95,3480.41,0.94033,0.73141,1.09522,0.92924,0.82447,0.88557,0.63355,1.06836,0.86751,1.14818,0.0003796,0.0003796,0.0003796
96,3516.97,0.93717,0.72191,1.09647,0.87077,0.83043,0.86795,0.62632,1.07318,0.93826,1.15317,0.000373,0.000373,0.000373
97,3553.38,0.95446,0.72077,1.09568,0.90649,0.82196,0.87716,0.63165,1.07695,0.90813,1.14236,0.0003664,0.0003664,0.0003664
